date,chlor_a,status,source_file
2019-07-23,,filled,ST.nc
2019-07-24,,filled,ST.nc
2019-07-25,,filled,ST.nc
2019-07-26,,filled,ST.nc
2019-07-27,2.750730515,filled,ST.nc
2019-07-28,7.124591351,filled,ST.nc
2019-07-29,,filled,ST.nc
2019-07-30,7.698984146,filled,ST.nc
2019-07-31,5.26946497,filled,ST.nc
2019-08-01,,filled,ST.nc
2019-08-02,,filled,ST.nc
2019-08-03,,filled,ST.nc
2019-08-04,,filled,ST.nc
2019-08-05,,filled,ST.nc
2019-08-06,,filled,ST.nc
2019-08-07,11.4612093,filled,ST.nc
2019-08-08,,filled,ST.nc
2019-08-09,,filled,ST.nc
2019-08-10,6.12976265,filled,ST.nc
2019-08-11,4.136297226,filled,ST.nc
2019-08-12,9.92767334,filled,ST.nc
2019-08-13,,filled,ST.nc
2019-08-14,,filled,ST.nc
2019-08-15,,filled,ST.nc
2019-08-16,,filled,ST.nc
2019-08-17,4.493236065,filled,ST.nc
2019-08-18,7.953494549,filled,ST.nc
2019-08-19,4.777134895,filled,ST.nc
2019-08-20,4.092460632,filled,ST.nc
2019-08-21,12.01636791,filled,ST.nc
2019-08-22,3.621511698,filled,ST.nc
2019-08-23,3.36844635,filled,ST.nc
2019-08-24,6.173885345,filled,ST.nc
2019-08-25,,filled,ST.nc
2019-08-26,4.621304035,filled,ST.nc
2019-08-27,3.739249468,filled,ST.nc
2019-08-28,2.987142563,filled,ST.nc
2019-08-29,,filled,ST.nc
2019-08-30,,filled,ST.nc
2019-08-31,3.581422091,filled,ST.nc
2019-09-01,,filled,ST.nc
2019-09-02,,filled,ST.nc
2019-09-03,,filled,ST.nc
2019-09-04,,filled,ST.nc
2019-09-05,8.083660126,filled,ST.nc
2019-09-06,4.144367695,filled,ST.nc
2019-09-07,2.542990923,filled,ST.nc
2019-09-08,6.818300724,filled,ST.nc
2019-09-09,3.747027397,filled,ST.nc
2019-09-10,3.301585436,filled,ST.nc
2019-09-11,3.960196257,filled,ST.nc
2019-09-12,4.878429413,filled,ST.nc
2019-09-13,12.89898682,filled,ST.nc
2019-09-14,,filled,ST.nc
2019-09-15,6.36311388,filled,ST.nc
2019-09-16,3.966549635,filled,ST.nc
2019-09-17,,filled,ST.nc
2019-09-18,,filled,ST.nc
2019-09-19,,filled,ST.nc
2019-09-20,5.453477383,filled,ST.nc
2019-09-21,,filled,ST.nc
2019-09-22,4.177342415,filled,ST.nc
2019-09-23,,filled,ST.nc
2019-09-24,2.777539492,filled,ST.nc
2019-09-25,,filled,ST.nc
2019-09-26,,filled,ST.nc
2019-09-27,3.458483458,filled,ST.nc
2019-09-28,5.946510315,filled,ST.nc
2019-09-29,7.001492977,filled,ST.nc
2019-09-30,,filled,ST.nc
2019-10-01,,filled,ST.nc
2019-10-02,,filled,ST.nc
2019-10-03,3.805383444,filled,ST.nc
2019-10-04,,filled,ST.nc
2019-10-05,,filled,ST.nc
2019-10-06,,filled,ST.nc
2019-10-07,6.782712936,filled,ST.nc
2019-10-08,,filled,ST.nc
2019-10-09,3.460932493,filled,ST.nc
2019-10-10,2.214202404,filled,ST.nc
2019-10-11,,filled,ST.nc
2019-10-12,5.003174782,filled,ST.nc
2019-10-13,2.763487577,filled,ST.nc
2019-10-14,5.655618668,filled,ST.nc
2019-10-15,,filled,ST.nc
2019-10-16,4.410377502,filled,ST.nc
2019-10-17,,filled,ST.nc
2019-10-18,,filled,ST.nc
2019-10-19,5.023530483,filled,ST.nc
2019-10-20,,filled,ST.nc
2019-10-21,4.041052341,filled,ST.nc
2019-10-22,,filled,ST.nc
2019-10-23,,filled,ST.nc
2019-10-24,6.312953949,filled,ST.nc
2019-10-25,,filled,ST.nc
2019-10-26,5.749826908,filled,ST.nc
2019-10-27,7.477506161,filled,ST.nc
2019-10-28,,filled,ST.nc
2019-10-29,,filled,ST.nc
2019-10-30,,filled,ST.nc
2019-10-31,,filled,ST.nc
