date,chlor_a,status,source_file
9/12/2018,1.709266663,filled,ST.nc
10/12/2018,1.920744061,filled,ST.nc
11/12/2018,,filled,ST.nc
12/12/2018,,filled,ST.nc
13/12/2018,1.422049284,filled,ST.nc
14/12/2018,2.247668028,filled,ST.nc
15/12/2018,,filled,ST.nc
16/12/2018,1.624095321,filled,ST.nc
17/12/2018,1.666864157,filled,ST.nc
18/12/2018,1.73450768,filled,ST.nc
19/12/2018,2.183094978,filled,ST.nc
20/12/2018,1.763873696,filled,ST.nc
21/12/2018,1.731071472,filled,ST.nc
22/12/2018,1.970077515,filled,ST.nc
23/12/2018,0.721324921,filled,ST.nc
24/12/2018,1.899961472,filled,ST.nc
25/12/2018,,filled,ST.nc
26/12/2018,,filled,ST.nc
27/12/2018,1.980529308,filled,ST.nc
28/12/2018,1.260282993,filled,ST.nc
29/12/2018,,filled,ST.nc
30/12/2018,1.41734767,filled,ST.nc
31/12/2018,2.293776751,filled,ST.nc
1/01/2019,1.422270894,filled,ST.nc
2/01/2019,,filled,ST.nc
3/01/2019,,filled,ST.nc
4/01/2019,1.94271934,filled,ST.nc
5/01/2019,1.949225783,filled,ST.nc
6/01/2019,2.724569559,filled,ST.nc
7/01/2019,1.882594585,filled,ST.nc
8/01/2019,1.934192181,filled,ST.nc
9/01/2019,1.574201584,filled,ST.nc
10/01/2019,2.197577953,filled,ST.nc
11/01/2019,1.670611978,filled,ST.nc
12/01/2019,1.593298912,filled,ST.nc
13/01/2019,1.542764664,filled,ST.nc
14/01/2019,2.047366142,filled,ST.nc
15/01/2019,1.812456965,filled,ST.nc
16/01/2019,2.493716002,filled,ST.nc
17/01/2019,3.858026266,filled,ST.nc
18/01/2019,2.281132698,filled,ST.nc
19/01/2019,3.027870417,filled,ST.nc
20/01/2019,2.577803373,filled,ST.nc
21/01/2019,,filled,ST.nc
22/01/2019,,filled,ST.nc
23/01/2019,2.243139267,filled,ST.nc
24/01/2019,,filled,ST.nc
25/01/2019,1.78453362,filled,ST.nc
26/01/2019,2.151437044,filled,ST.nc
27/01/2019,2.657082558,filled,ST.nc
28/01/2019,2.164753914,filled,ST.nc
29/01/2019,3.163361549,filled,ST.nc
30/01/2019,1.888445377,filled,ST.nc
31/01/2019,2.132007837,filled,ST.nc
1/02/2019,2.846901894,filled,ST.nc
2/02/2019,,filled,ST.nc
3/02/2019,1.913361669,filled,ST.nc
4/02/2019,2.391591787,filled,ST.nc
5/02/2019,1.922096014,filled,ST.nc
6/02/2019,3.202671528,filled,ST.nc
7/02/2019,3.456954718,filled,ST.nc
8/02/2019,2.283857107,filled,ST.nc
9/02/2019,2.421323538,filled,ST.nc
10/02/2019,2.691292524,filled,ST.nc
11/02/2019,2.052549839,filled,ST.nc
12/02/2019,1.596688628,filled,ST.nc
13/02/2019,,filled,ST.nc
14/02/2019,2.197109461,filled,ST.nc
15/02/2019,,filled,ST.nc
16/02/2019,3.400952816,filled,ST.nc
17/02/2019,,filled,ST.nc
18/02/2019,1.980123043,filled,ST.nc
19/02/2019,2.174121618,filled,ST.nc
20/02/2019,1.771609545,filled,ST.nc
21/02/2019,,filled,ST.nc
22/02/2019,,filled,ST.nc
23/02/2019,1.609089732,filled,ST.nc
24/02/2019,2.012473345,filled,ST.nc
25/02/2019,2.860266209,filled,ST.nc
26/02/2019,,filled,ST.nc
27/02/2019,3.563648224,filled,ST.nc
28/02/2019,,filled,ST.nc
1/03/2019,,filled,ST.nc
2/03/2019,2.418416023,filled,ST.nc
3/03/2019,2.979748964,filled,ST.nc
4/03/2019,,filled,ST.nc
5/03/2019,,filled,ST.nc
6/03/2019,,filled,ST.nc
7/03/2019,,filled,ST.nc
8/03/2019,,filled,ST.nc
9/03/2019,,filled,ST.nc
10/03/2019,6.666597366,filled,ST.nc
11/03/2019,2.03472662,filled,ST.nc
12/03/2019,2.92879653,filled,ST.nc
13/03/2019,2.373364449,filled,ST.nc
14/03/2019,1.842432618,filled,ST.nc
15/03/2019,1.840059757,filled,ST.nc
16/03/2019,,filled,ST.nc
17/03/2019,1.749325275,filled,ST.nc
18/03/2019,2.470816374,filled,ST.nc
19/03/2019,,filled,ST.nc
20/03/2019,,filled,ST.nc
21/03/2019,,filled,ST.nc
22/03/2019,3.438399315,filled,ST.nc
23/03/2019,2.53142333,filled,ST.nc
24/03/2019,2.066548824,filled,ST.nc
25/03/2019,2.191108942,filled,ST.nc
26/03/2019,2.58005619,filled,ST.nc
27/03/2019,,filled,ST.nc
28/03/2019,1.831726909,filled,ST.nc
29/03/2019,1.604731441,filled,ST.nc
30/03/2019,2.064440966,filled,ST.nc
31/03/2019,,filled,ST.nc
1/04/2019,,filled,ST.nc
2/04/2019,,filled,ST.nc
3/04/2019,,filled,ST.nc
4/04/2019,,filled,ST.nc
5/04/2019,1.834079981,filled,ST.nc
6/04/2019,1.728066802,filled,ST.nc
7/04/2019,2.267553091,filled,ST.nc
8/04/2019,3.897135496,filled,ST.nc
9/04/2019,2.1262362,filled,ST.nc
10/04/2019,4.621471405,filled,ST.nc
